ID,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,,time_cpu,verif,error,fit
../benchmarks/depth_fusion37,1,1,0,0,64,0,1,0,1,1,1,2,0,0,1,,25.9633,P,N,Y
../benchmarks/depth_fusion38,1,1,0,0,64,0,1,0,1,1,1,2,0,1,0,,40.8108,P,N,Y
../benchmarks/depth_fusion39,1,1,0,0,64,0,1,0,1,1,1,2,0,1,1,,41.3778,P,N,Y
../benchmarks/depth_fusion40,1,1,0,0,64,0,1,0,1,1,2,1,0,0,0,,25.8523,P,N,Y
../benchmarks/depth_fusion41,1,1,0,0,64,0,1,0,1,1,2,1,0,0,1,,25.7889,P,N,Y
../benchmarks/depth_fusion42,1,1,0,0,64,0,1,0,1,1,2,1,0,1,0,,41.3889,P,N,Y
../benchmarks/depth_fusion43,1,1,0,0,64,0,1,0,1,1,2,1,0,1,1,,41.5395,P,N,Y
../benchmarks/depth_fusion44,1,1,0,0,64,0,1,0,1,1,2,2,0,0,0,,26.74,P,N,Y
../benchmarks/depth_fusion45,1,1,0,0,64,0,1,0,1,1,2,2,0,0,1,,27.2298,P,N,Y
../benchmarks/depth_fusion46,1,1,0,0,64,0,1,0,1,1,2,2,0,1,0,,40.8703,P,N,Y
../benchmarks/depth_fusion47,1,1,0,0,64,0,1,0,1,1,2,2,0,1,1,,41.2415,P,N,Y
../benchmarks/depth_fusion48,1,1,0,0,64,0,1,0,1,2,1,1,0,0,0,,25.5136,P,N,Y
../benchmarks/depth_fusion49,1,1,0,0,64,0,1,0,1,2,1,1,0,0,1,,25.4362,P,N,Y
../benchmarks/depth_fusion50,1,1,0,0,64,0,1,0,1,2,1,1,0,1,0,,41.3954,P,N,Y
../benchmarks/depth_fusion51,1,1,0,0,64,0,1,0,1,2,1,1,0,1,1,,41.6017,P,N,Y
../benchmarks/depth_fusion52,1,1,0,0,64,0,1,0,1,2,1,2,0,0,0,,25.7054,P,N,Y
../benchmarks/depth_fusion53,1,1,0,0,64,0,1,0,1,2,1,2,0,0,1,,25.7698,P,N,Y
../benchmarks/depth_fusion54,1,1,0,0,64,0,1,0,1,2,1,2,0,1,0,,41.3111,P,N,Y
../benchmarks/depth_fusion55,1,1,0,0,64,0,1,0,1,2,1,2,0,1,1,,41.6817,P,N,Y
../benchmarks/depth_fusion56,1,1,0,0,64,0,1,0,1,2,2,1,0,0,0,,25.3621,P,N,Y
../benchmarks/depth_fusion57,1,1,0,0,64,0,1,0,1,2,2,1,0,0,1,,25.3615,P,N,Y
../benchmarks/depth_fusion58,1,1,0,0,64,0,1,0,1,2,2,1,0,1,0,,41.2894,P,N,Y
../benchmarks/depth_fusion59,1,1,0,0,64,0,1,0,1,2,2,1,0,1,1,,40.8037,P,N,Y
../benchmarks/depth_fusion60,1,1,0,0,64,0,1,0,1,2,2,2,0,0,0,,26.4464,P,N,Y
../benchmarks/depth_fusion61,1,1,0,0,64,0,1,0,1,2,2,2,0,0,1,,25.9092,P,N,Y
../benchmarks/depth_fusion62,1,1,0,0,64,0,1,0,1,2,2,2,0,1,0,,41.5929,P,N,Y
../benchmarks/depth_fusion63,1,1,0,0,64,0,1,0,1,2,2,2,0,1,1,,41.3246,P,N,Y
