ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined147,0,1,0,0,0,2,2,1,2,1,2,58,28,48,84,3.14329e-05,110977,7949170,829,216,264.62,Y
../benchmarks/combined148,0,1,0,0,0,2,2,1,2,2,1,58,28,48,84,3.36781e-05,111186,7952754,829,216,259.74,Y
../benchmarks/combined149,0,1,0,0,0,2,2,1,2,2,2,58,28,48,84,5.82209e-05,111042,7944818,831,216,267.08,Y
../benchmarks/combined150,0,1,0,0,1,0,1,0,1,1,1,31,14,27,21,0.234375,59736,4269513,496,54,302.48,Y
../benchmarks/combined151,0,1,0,0,1,0,2,0,1,1,1,40,19,35,42,0.205654,77057,5600673,621,108,285.79,Y
../benchmarks/combined152,0,1,0,0,1,1,1,0,1,1,1,31,14,27,21,0.211401,60086,4331977,505,54,299.49,Y
../benchmarks/combined153,0,1,0,0,1,1,2,0,1,1,1,41,20,37,42,0.162129,79223,5816001,644,108,264.62,Y
../benchmarks/combined154,0,1,0,0,1,2,1,0,1,1,1,31,14,27,21,0.211401,60086,4331977,505,54,299.49,Y
../benchmarks/combined155,0,1,0,0,1,2,2,0,1,1,1,41,20,37,42,0.162129,79223,5816001,644,108,264.62,Y
../benchmarks/combined156,0,1,1,0,0,0,1,0,1,1,1,32,16,37,21,5.2022e-05,71297,7773944,738,54,257.26,Y
../benchmarks/combined157,0,1,1,0,0,0,1,0,2,1,1,40,20,43,38,4.25938e-05,91681,8298016,811,98,251.0,Y
../benchmarks/combined158,0,1,1,0,0,0,1,1,1,1,1,30,14,36,21,0.000208088,60673,7766698,723,54,286.94,Y
../benchmarks/combined159,0,1,1,0,0,0,1,1,2,1,1,36,17,41,42,0.000170251,75884,8228635,773,108,274.87,Y
../benchmarks/combined160,0,1,1,0,0,0,2,0,1,1,1,45,23,48,42,5.11251e-05,98642,9564832,885,108,241.42,Y
../benchmarks/combined161,0,1,1,0,0,0,2,0,2,1,1,60,30,64,77,2.34878e-05,124120,11228171,1065,196,213.99,Y
../benchmarks/combined162,0,1,1,0,0,0,2,1,1,1,1,41,19,45,42,0.000170251,78946,9577171,856,108,260.41,Y
../benchmarks/combined163,0,1,1,0,0,0,2,1,2,1,1,55,26,55,84,8.21785e-05,107637,10295780,944,216,265.52,Y
../benchmarks/combined164,0,1,1,0,0,1,1,0,1,1,1,33,16,40,21,5.20179e-05,64486,8001786,743,54,282.24,Y
../benchmarks/combined165,0,1,1,0,0,1,1,0,1,1,2,33,16,40,21,4.85462e-05,64606,8001786,745,54,264.69,Y
../benchmarks/combined166,0,1,1,0,0,1,1,0,1,2,1,33,16,40,21,4.85462e-05,64642,8001274,745,54,277.46,Y
../benchmarks/combined167,0,1,1,0,0,1,1,0,1,2,2,33,16,40,21,4.85462e-05,64523,8001274,745,54,252.52,Y
../benchmarks/combined168,0,1,1,0,0,1,1,0,2,1,1,41,20,48,38,4.02128e-05,78351,9033172,837,98,269.54,Y
../benchmarks/combined169,0,1,1,0,0,1,1,0,2,1,2,41,20,49,38,4.02128e-05,78330,9033172,837,98,273.67,Y
../benchmarks/combined170,0,1,1,0,0,1,1,0,2,2,1,41,20,48,38,4.02128e-05,78368,9032660,837,98,272.1,Y
../benchmarks/combined171,0,1,1,0,0,1,1,0,2,2,2,41,20,49,38,4.30852e-05,78380,9032916,838,98,273.37,Y
../benchmarks/combined172,0,1,1,0,0,1,1,1,1,1,1,31,15,38,21,0.000207957,61587,8165744,749,54,265.6,Y
../benchmarks/combined173,0,1,1,0,0,1,1,1,1,1,2,32,15,38,21,0.000194185,61390,7892648,731,54,281.45,Y
