ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/raycasting72,0,0,1,1,0,0,0,0,84,41,61,38,4.76837e-05,25743,1726145,351,40,126.51,Y
../benchmarks/raycasting73,0,0,1,1,0,0,0,1,83,42,64,46,4.76837e-05,24864,1794611,363,48,123.5,Y
../benchmarks/raycasting74,0,0,1,1,0,0,0,2,88,44,66,61,4.76837e-05,27435,1864102,381,65,125.07,Y
../benchmarks/raycasting75,0,0,1,1,0,0,1,0,90,42,65,44,0.195312,27325,1406429,282,43,127.89,Y
../benchmarks/raycasting76,0,0,1,1,0,0,1,1,90,43,68,51,0.195312,26385,1464570,290,51,131.09,Y
../benchmarks/raycasting78,0,0,1,1,0,1,0,0,84,41,61,37,4.76837e-05,25546,1726145,351,38,122.75,Y
../benchmarks/raycasting79,0,0,1,1,0,1,0,1,83,41,64,42,4.76837e-05,24576,1794692,363,44,122.53,Y
../benchmarks/raycasting80,0,0,1,1,0,1,0,2,88,44,66,57,4.76837e-05,27237,1864032,383,61,123.38,Y
../benchmarks/raycasting81,0,0,1,1,0,1,1,0,89,41,64,42,0.195312,26940,1406519,282,41,134.94,Y
../benchmarks/raycasting82,0,0,1,1,0,1,1,1,88,42,68,47,0.195312,25910,1464639,291,47,128.09,Y
../benchmarks/raycasting84,0,0,1,1,1,0,0,0,83,40,59,38,4.76837e-05,25540,1686113,347,40,120.84,Y
../benchmarks/raycasting85,0,0,1,1,1,0,0,1,82,41,62,46,4.76837e-05,24715,1754579,359,48,123.41,Y
../benchmarks/raycasting86,0,0,1,1,1,0,0,2,87,43,64,61,4.76837e-05,27319,1824070,377,65,121.28,Y
../benchmarks/raycasting87,0,0,1,1,1,0,1,0,87,40,58,44,0.195312,26990,1364535,276,43,131.52,Y
../benchmarks/raycasting88,0,0,1,1,1,0,1,1,87,41,62,51,0.195312,26238,1422655,285,51,130.46,Y
../benchmarks/raycasting90,0,0,1,1,1,1,0,0,82,40,58,37,4.76837e-05,25210,1684545,345,38,123.21,Y
../benchmarks/raycasting91,0,0,1,1,1,1,0,1,81,40,61,42,4.76837e-05,24293,1753092,357,44,122.8,Y
../benchmarks/raycasting92,0,0,1,1,1,1,0,2,86,43,62,57,4.76837e-05,26896,1822432,377,61,114.83,Y
../benchmarks/raycasting93,0,0,1,1,1,1,1,0,87,40,58,42,0.195312,26814,1364535,276,41,129.36,Y
../benchmarks/raycasting94,0,0,1,1,1,1,1,1,85,40,61,47,0.195312,25709,1422655,285,47,128.91,Y
../benchmarks/raycasting95,0,0,1,1,1,1,1,2,90,43,65,63,0.195312,27978,1521921,326,64,135.51,Y
../benchmarks/raycasting99,0,1,0,0,0,0,1,0,89,43,48,53,0.15096,32854,1256644,-1,50,-1,N
../benchmarks/raycasting100,0,1,0,0,0,0,1,1,89,44,53,60,0.150927,32098,1314764,-1,58,-1,N
../benchmarks/raycasting105,0,1,0,0,0,1,1,0,88,43,49,51,0.15096,32594,1251503,-1,48,-1,N
../benchmarks/raycasting106,0,1,0,0,0,1,1,1,87,43,52,56,0.150927,30425,1309623,299,54,133.12,Y
../benchmarks/raycasting111,0,1,0,0,1,0,1,0,90,43,50,53,0.159844,32967,1296324,-1,50,-1,N
../benchmarks/raycasting112,0,1,0,0,1,0,1,1,90,44,54,60,0.159807,32126,1354444,-1,58,-1,N
../benchmarks/raycasting117,0,1,0,0,1,1,1,0,90,43,50,51,0.159844,32646,1291183,-1,48,-1,N
../benchmarks/raycasting118,0,1,0,0,1,1,1,1,89,43,53,56,0.159807,30490,1349303,305,54,119.4,Y
