ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Tracking1_Kernel,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Raycast_CreateICPMaps_Kernel,Fusion,Fusion_allocate,Fusion_integrate,Fusion_integrate_Kernel,Total_time,Unnamed: 15,ID,ate
../benchmarks/combined50,0,0,0,0,0,2,1,1,1,2,1,32,15,28,22,0.000205712,62617,4202083,509,56,266.38,Y,50,combined50_timing.csv,12.9988324873,0.0,0.0,1.92947738693,0.0,0.0,1.92366834171,0.0,0.0,1555.62644724,3.2748241206,1552.33664824,1547.91507538,1570.77728643,,50,0.032389
../benchmarks/combined51,0,0,0,0,0,2,1,1,1,2,2,32,15,28,22,0.000205696,62525,4199779,511,56,285.79,Y,51,combined51_timing.csv,11.6816363636,0.0,0.0,1.69369849246,0.0,0.0,1.68851256281,0.0,0.0,1442.71019598,3.04449246231,1439.65743216,1435.38942714,1456.26150754,,51,0.032436
../benchmarks/combined52,0,0,0,0,0,2,1,1,2,1,1,39,19,35,44,0.0002056,78347,5614556,620,112,276.47,Y,52,combined52_timing.csv,12.4733451777,0.0,0.0,1.81007035176,0.0,0.0,1.80504020101,0.0,0.0,1487.89421106,3.22531658291,1484.6539598,1480.28227136,1502.3280402,,52,0.03242
../benchmarks/combined53,0,0,0,0,0,2,1,1,2,1,2,39,19,35,44,0.000205696,78077,5351755,612,112,288.6,Y,53,combined53_timing.csv,12.5404619289,0.0,0.0,1.76852261307,0.0,0.0,1.76347738693,0.0,0.0,1429.84858291,3.29555276382,1426.5440804,1422.03907538,1444.35678392,,53,0.03238
../benchmarks/combined54,0,0,0,0,0,2,1,1,2,2,1,39,19,34,44,0.000205696,78275,5351243,610,112,280.58,Y,54,combined54_timing.csv,12.2713434343,0.0,0.0,2.10579899497,0.0,0.0,2.10032663317,0.0,0.0,1467.5788995,3.26418090452,1464.30610553,1459.97987437,1482.14432161,,54,0.032424
../benchmarks/combined55,0,0,0,0,0,2,1,1,2,2,2,39,19,35,44,0.000220389,78117,5351243,610,112,295.5,Y,55,combined55_timing.csv,13.0326497462,0.0,0.0,2.14204020101,0.0,0.0,2.13694974874,0.0,0.0,1391.46356784,3.41103015075,1388.04380402,1383.75722613,1406.85532663,,55,0.032448
../benchmarks/combined56,0,0,0,0,0,2,2,0,1,1,1,47,23,47,44,2.49645e-05,84559,6246583,697,112,289.68,Y,56,combined56_timing.csv,12.304989899,0.0,0.0,2.13212060302,0.0,0.0,2.1266281407,0.0,0.0,1579.62928643,3.23444723618,1576.38050251,1572.03129146,1594.26969849,,56,0.032422
../benchmarks/combined57,0,0,0,0,0,2,2,0,1,1,2,47,23,47,44,2.45106e-05,84541,6246583,697,112,284.89,Y,57,combined57_timing.csv,13.2027424242,0.0,0.0,1.99639698492,0.0,0.0,1.9910201005,0.0,0.0,1609.86043216,3.33315577889,1606.51878894,1602.12479397,1625.28201005,,57,0.032415
../benchmarks/combined58,0,0,0,0,0,2,2,0,1,2,1,47,23,47,44,2.28725e-05,84758,6250167,698,112,278.39,Y,58,combined58_timing.csv,12.8946091371,0.0,0.0,1.91092462312,0.0,0.0,1.90559296482,0.0,0.0,1637.4529598,3.21177386935,1634.23238191,1629.79845729,1652.47331658,,58,0.032432
../benchmarks/combined59,0,0,0,0,0,2,2,0,1,2,2,47,23,47,44,2.2452e-05,84730,6250167,698,112,267.08,Y,59,combined59_timing.csv,12.0832575758,0.0,0.0,2.22892964824,0.0,0.0,2.22351256281,0.0,0.0,1702.47942211,3.22401010101,1699.22682915,1694.85826633,1716.99663317,,59,0.032437
../benchmarks/combined60,0,0,0,0,0,2,2,0,2,1,1,66,34,70,80,2.28725e-05,114929,8759330,916,204,266.8,Y,60,combined60_timing.csv,13.6977474747,0.0,0.0,2.04511557789,0.0,0.0,2.0395879397,0.0,0.0,1929.45682915,3.42468844221,1926.02379899,1921.70024121,1945.43522613,,60,0.032418
../benchmarks/combined61,0,0,0,0,0,2,2,0,2,1,2,66,34,70,80,2.24489e-05,114734,8759330,916,204,251.88,Y,61,combined61_timing.csv,12.2965380711,0.0,0.0,1.87387437186,0.0,0.0,1.86843718593,0.0,0.0,2041.08089447,3.28054271357,2037.79156784,2033.38735678,2055.45346734,,61,0.032535
