ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Tracking1_Kernel,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Raycast_CreateICPMaps_Kernel,Fusion,Fusion_allocate,Fusion_integrate,Fusion_integrate_Kernel,Total_time,Unnamed: 15,ID,ate
../benchmarks/raycasting29,0,0,0,1,0,0,1,2,35,16,27,29,0.234375,66859,4669722,543,74,283.44,Y,29,raycasting29_timing.csv,10.0127070707,0.0,0.0,43.1855376884,2.20722110553,0.0,40.9690653266,0.0,8.0446019598,10.7562613065,3.00094472362,7.74472864322,0.0,64.1290452261,,29,0.031638
../benchmarks/raycasting33,0,0,0,1,0,1,1,0,33,15,25,18,0.234375,64309,4451378,513,47,291.8,Y,33,raycasting33_timing.csv,9.90123115578,0.0,0.0,46.0049698492,2.31286934673,0.0,43.6833065327,0.0,10.7970827136,10.5245025126,3.00271859296,7.50501507538,0.0,66.6062311558,,33,0.031453
../benchmarks/raycasting34,0,0,0,1,0,1,1,1,33,15,26,21,0.234375,63439,4542770,524,53,292.56,Y,34,raycasting34_timing.csv,10.211244898,0.0,0.0,45.378919598,2.28914070352,0.0,43.081241206,0.0,10.2092132663,10.6855226131,2.94204040404,7.73507537688,0.0,66.4492964824,,34,0.031578
../benchmarks/raycasting35,0,0,0,1,0,1,1,2,34,16,26,27,0.234375,66381,4669722,543,70,279.64,Y,35,raycasting35_timing.csv,9.59135025381,0.0,0.0,43.1302160804,2.18912060302,0.0,40.932120603,0.0,8.04259663317,10.6355427136,2.93359798995,7.68992462312,0.0,63.5110050251,,35,0.031663
../benchmarks/raycasting39,0,0,0,1,1,0,1,0,34,15,26,19,0.234375,64639,4733746,527,49,265.6,Y,39,raycasting39_timing.csv,9.82207035176,0.0,0.0,45.0019246231,2.29235678392,0.0,42.7004422111,0.0,9.86648291457,10.4698844221,2.92859798995,7.53068844221,0.0,65.4786432161,,39,0.0314
../benchmarks/raycasting40,0,0,0,1,1,0,1,1,34,15,26,22,0.234375,63885,4825138,538,57,267.95,Y,40,raycasting40_timing.csv,9.92830653266,0.0,0.0,44.1262261307,2.22218090452,0.0,41.8947386935,0.0,9.02155201005,10.556241206,2.91179899497,7.63328140704,0.0,64.7820603015,,40,0.031492
../benchmarks/raycasting41,0,0,0,1,1,0,1,2,35,16,27,29,0.234375,66833,4952090,557,74,278.16,Y,41,raycasting41_timing.csv,9.6108040201,0.0,0.0,40.1227236181,2.2538040201,0.0,37.859959799,0.0,5.03568567839,10.3279447236,2.93822613065,7.37962311558,0.0,60.2350251256,,41,0.031638
../benchmarks/raycasting45,0,0,0,1,1,1,1,0,34,15,26,18,0.234375,64422,4733746,527,47,300.3,Y,45,raycasting45_timing.csv,9.68443718593,0.0,0.0,43.8685326633,2.24836180905,0.0,41.6116834171,0.0,8.77995829146,10.3069648241,2.87884422111,7.41842713568,0.0,64.0532663317,,45,0.03165
../benchmarks/raycasting46,0,0,0,1,1,1,1,1,33,15,26,21,0.234375,63538,4825138,538,53,303.39,Y,46,raycasting46_timing.csv,10.0121407035,0.0,0.0,43.2234824121,2.29420603015,0.0,40.920758794,0.0,8.14748728643,10.6523768844,2.9335678392,7.70903015075,0.0,64.0630150754,,46,0.031533
../benchmarks/raycasting47,0,0,0,1,1,1,1,2,35,16,27,27,0.234375,66573,4952090,557,70,277.0,Y,47,raycasting47_timing.csv,9.93507035176,0.0,0.0,40.1332211055,2.21330150754,0.0,37.9101407035,0.0,5.05175356784,10.2329949749,2.85775376884,7.36366834171,0.0,60.4876884422,,47,0.031645
../benchmarks/raycasting48,0,0,1,0,0,0,0,0,34,16,26,17,5.72205e-05,64086,3901644,515,43,256.47,Y,48,raycasting48_timing.csv,11.0218442211,0.0,0.0,164.300321608,2.28091457286,0.0,162.010246231,0.0,128.957684422,10.8618994975,3.10533165829,7.74530653266,0.0,186.366934673,,48,0.031754
../benchmarks/raycasting49,0,0,1,0,0,0,0,1,35,16,28,20,5.72205e-05,63543,4307788,540,51,266.59,Y,49,raycasting49_timing.csv,10.413,0.0,0.0,133.520040201,2.13526130653,0.0,131.375788945,0.0,98.4329160804,10.3425829146,2.97687437186,7.35504522613,0.0,154.448944724,,49,0.031538
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,36,17,29,27,5.72205e-05,66676,4671124,568,68,264.76,Y,50,raycasting50_timing.csv,10.4309141414,0.0,0.0,84.9935929648,2.19685929648,0.0,82.7880854271,0.0,49.8710683417,10.3565879397,2.9695879397,7.37628643216,0.0,105.942462312,,50,0.031485
../benchmarks/raycasting51,0,0,1,0,0,0,1,0,34,15,24,19,0.234375,65920,3741562,485,49,271.29,Y,51,raycasting51_timing.csv,10.4111457286,0.0,0.0,50.0146482412,2.31245226131,0.0,47.6923768844,0.0,14.7191029146,10.5411809045,2.92192462312,7.60629145729,0.0,71.1740703518,,51,0.031625
../benchmarks/raycasting52,0,0,1,0,0,0,1,1,34,16,25,22,0.234375,65128,3859578,496,57,264.2,Y,52,raycasting52_timing.csv,10.4178743719,0.0,0.0,49.0629849246,2.31271859296,0.0,46.7400603015,0.0,13.8719454774,10.5458542714,2.90846733668,7.62539698492,0.0,70.2135175879,,52,0.031596
../benchmarks/raycasting53,0,0,1,0,0,0,1,2,35,17,26,29,0.234375,68108,3986530,515,74,291.71,Y,53,raycasting53_timing.csv,9.80604020101,0.0,0.0,42.5672160804,2.20029648241,0.0,40.3583718593,0.0,7.56724703518,10.4491005025,2.91304020101,7.52507537688,0.0,62.998040201,,53,0.031594
../benchmarks/raycasting54,0,0,1,0,0,1,0,0,34,16,26,16,5.72205e-05,63881,3901644,515,41,280.5,Y,54,raycasting54_timing.csv,10.8492361809,0.0,0.0,148.093336683,2.14989949749,0.0,145.934633166,0.0,113.042529146,10.5407889447,3.01825125628,7.51122613065,0.0,169.663869347,,54,0.031491
../benchmarks/raycasting55,0,0,1,0,0,1,0,1,35,16,28,18,5.72205e-05,63285,4307788,540,47,259.47,Y,55,raycasting55_timing.csv,11.008530303,0.0,0.0,137.139427136,2.23693969849,0.0,134.893100503,0.0,102.049944221,10.3357788945,2.99461809045,7.32994472362,0.0,158.674472362,,55,0.031529
../benchmarks/raycasting56,0,0,1,0,0,1,0,2,36,17,28,25,5.72205e-05,66379,4672312,569,64,247.95,Y,56,raycasting56_timing.csv,10.4926060606,0.0,0.0,88.8756984925,2.2605678392,0.0,86.6060954774,0.0,53.6453723618,10.7156733668,2.99921105528,7.70568844221,0.0,110.246582915,,56,0.031566
../benchmarks/raycasting57,0,0,1,0,0,1,1,0,34,15,24,18,0.234375,65616,3741562,485,47,288.35,Y,57,raycasting57_timing.csv,10.1877738693,0.0,0.0,49.5894371859,2.28332663317,0.0,47.2972110553,0.0,14.5117761307,10.7759246231,3.02312060302,7.74176884422,0.0,70.7289447236,,57,0.031446
../benchmarks/raycasting58,0,0,1,0,0,1,1,1,34,15,25,21,0.234375,64762,3859578,496,53,302.48,Y,58,raycasting58_timing.csv,10.3348944724,0.0,0.0,48.6867939698,2.35807035176,0.0,46.3199447236,0.0,13.473559397,10.6158844221,2.98801507538,7.61730150754,0.0,69.8248241206,,58,0.031557
../benchmarks/raycasting59,0,0,1,0,0,1,1,2,35,16,26,27,0.234375,67726,3986530,515,70,283.2,Y,59,raycasting59_timing.csv,9.92901005025,0.0,0.0,42.6284422111,2.23224120603,0.0,40.3876432161,0.0,7.59860934673,10.5750603015,2.95033165829,7.61448241206,0.0,63.3257286432,,59,0.031684
../benchmarks/raycasting60,0,0,1,0,1,0,0,0,33,15,24,17,5.72205e-05,67720,2805772,499,43,246.06,Y,60,raycasting60_timing.csv,10.4852663317,0.0,0.0,173.88721608,2.15096984925,0.0,171.726577889,0.0,138.91368593,10.6652261307,3.06910050251,7.58471859296,0.0,195.214020101,,60,0.031415
../benchmarks/raycasting61,0,0,1,0,1,0,0,1,34,16,27,20,5.72205e-05,63391,4233356,533,51,266.66,Y,61,raycasting61_timing.csv,11.2191565657,0.0,0.0,134.529447236,2.22753266332,0.0,132.291552764,0.0,99.5093572864,10.1950301508,2.94033668342,7.24295979899,0.0,156.132311558,,61,0.031704
../benchmarks/raycasting62,0,0,1,0,1,0,0,2,36,17,28,27,5.72205e-05,66521,4596692,561,68,257.0,Y,62,raycasting62_timing.csv,10.5694271357,0.0,0.0,85.7644070352,2.21393467337,0.0,83.5410100503,0.0,50.8294341709,10.4728241206,3.02396984925,7.4271959799,0.0,106.981356784,,62,0.031858
../benchmarks/raycasting63,0,0,1,0,1,0,1,0,33,15,22,19,0.234375,69446,2644602,468,49,261.7,Y,63,raycasting63_timing.csv,10.3707487437,0.0,0.0,47.6949748744,2.36468844221,0.0,45.3216934673,0.0,12.7607838191,10.7284723618,2.9622361809,7.74841708543,0.0,68.9677889447,,63,0.031515
../benchmarks/raycasting64,0,0,1,0,1,0,1,1,33,15,24,22,0.234375,64955,3784058,488,57,268.24,Y,64,raycasting64_timing.csv,10.1690653266,0.0,0.0,46.8965477387,2.26142713568,0.0,44.6263065327,0.0,12.0060196985,10.4859045226,2.89105527638,7.58394974874,0.0,67.7389447236,,64,0.031454
../benchmarks/raycasting65,0,0,1,0,1,0,1,2,35,16,24,29,0.234375,67921,3911010,507,74,285.87,Y,65,raycasting65_timing.csv,9.65513131313,0.0,0.0,40.8328844221,2.24065829146,0.0,38.5829899497,0.0,6.04635497487,10.5429497487,2.93164824121,7.60020603015,0.0,61.1983417085,,65,0.031826
../benchmarks/raycasting66,0,0,1,0,1,1,0,0,32,15,24,16,5.72205e-05,67406,2804940,498,41,249.62,Y,66,raycasting66_timing.csv,10.8330707071,0.0,0.0,165.524698492,2.22318592965,0.0,163.292346734,0.0,130.543915578,10.4811708543,3.03508585859,7.43150753769,0.0,187.025678392,,66,0.031475
../benchmarks/raycasting67,0,0,1,0,1,1,0,1,34,16,27,18,5.72205e-05,63051,4232524,532,47,264.41,Y,67,raycasting67_timing.csv,10.4485477387,0.0,0.0,137.316944724,2.18045226131,0.0,135.12719598,0.0,102.406543216,10.3899849246,2.98812562814,7.39028140704,0.0,158.337286432,,67,0.031492
