ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/icp351,0,0,1,1,1,1,1,2,1,0,2,1,85,44,51,70,0.0998687,34130,593284,-1,80,-1,N
../benchmarks/icp360,0,0,1,1,1,2,0,2,0,0,2,1,80,41,63,70,2.40687e-05,27396,608483,278,80,143.78,Y
../benchmarks/icp361,0,0,1,1,1,2,0,2,1,0,2,1,78,39,62,70,9.61809e-05,26993,631486,283,80,141.24,Y
../benchmarks/icp362,0,0,1,1,1,2,0,4,0,0,2,1,85,43,64,70,2.40687e-05,32066,615399,-1,80,-1,N
../benchmarks/icp363,0,0,1,1,1,2,0,4,1,0,2,1,82,41,63,70,9.61809e-05,30096,638402,283,80,143.53,Y
../benchmarks/icp384,0,1,0,0,0,0,0,2,0,0,2,1,78,40,56,56,1.12993e-05,23717,595410,224,65,113.17,Y
../benchmarks/icp385,0,1,0,0,0,0,0,2,1,0,2,1,79,40,56,56,2.54235e-05,24376,622487,229,65,115.51,Y
../benchmarks/icp396,0,1,0,0,0,1,0,2,0,0,2,1,79,40,55,56,1.12993e-05,23576,595410,224,65,117.66,Y
../benchmarks/icp397,0,1,0,0,0,1,0,2,1,0,2,1,80,41,55,56,2.54235e-05,24262,622999,229,65,114.81,Y
../benchmarks/icp408,0,1,0,0,0,2,0,2,0,0,2,1,79,40,55,56,1.12993e-05,25704,595662,231,65,112.46,Y
../benchmarks/icp409,0,1,0,0,0,2,0,2,1,0,2,1,80,41,55,56,2.54235e-05,26135,622739,235,65,116.21,Y
../benchmarks/icp410,0,1,0,0,0,2,0,4,0,0,2,1,84,43,56,56,1.12993e-05,29645,603602,231,65,114.56,Y
../benchmarks/icp411,0,1,0,0,0,2,0,4,1,0,2,1,84,43,56,56,2.54235e-05,29379,630679,235,65,115.15,Y
../benchmarks/icp432,0,1,0,0,1,0,0,2,0,0,2,1,77,40,51,47,3.19268e-05,25274,590327,231,55,115.07,Y
../benchmarks/icp433,0,1,0,0,1,0,0,2,1,0,2,1,77,40,50,47,3.19268e-05,25754,615676,237,55,113.63,Y
../benchmarks/icp444,0,1,0,0,1,1,0,2,0,0,2,1,75,39,50,47,3.19268e-05,25504,589405,229,55,117.45,Y
../benchmarks/icp445,0,1,0,0,1,1,0,2,1,0,2,1,75,38,50,47,3.19268e-05,25577,614793,235,55,112.75,Y
../benchmarks/icp456,0,1,0,0,1,2,0,2,0,0,2,1,86,45,60,47,3.19268e-05,27698,609529,253,55,116.09,Y
../benchmarks/icp457,0,1,0,0,1,2,0,2,1,0,2,1,86,44,60,47,3.19268e-05,27670,634917,259,55,113.59,Y
../benchmarks/icp459,0,1,0,0,1,2,0,4,1,0,2,1,90,46,61,47,3.19268e-05,30940,641833,259,55,114.71,Y
../benchmarks/icp480,0,1,0,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y
../benchmarks/icp481,0,1,0,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y
../benchmarks/icp482,0,1,0,1,0,0,1,2,0,0,2,1,85,44,54,70,9.76232e-05,33002,606031,-1,80,-1,N
../benchmarks/icp483,0,1,0,1,0,0,1,2,1,0,2,1,83,43,51,70,0.0998687,33159,601711,-1,80,-1,N
../benchmarks/icp492,0,1,0,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y
../benchmarks/icp493,0,1,0,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y
../benchmarks/icp494,0,1,0,1,0,1,1,2,0,0,2,1,85,44,54,70,9.76232e-05,33048,606031,-1,80,-1,N
../benchmarks/icp495,0,1,0,1,0,1,1,2,1,0,2,1,83,43,51,70,0.0998687,33123,602548,-1,80,-1,N
../benchmarks/icp504,0,1,0,1,0,2,0,2,0,0,2,1,73,37,56,70,2.40687e-05,26438,597592,259,80,136.25,Y
../benchmarks/icp505,0,1,0,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25963,620484,263,80,142.65,Y
../benchmarks/icp506,0,1,0,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30258,605532,259,80,128.18,Y
../benchmarks/icp507,0,1,0,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29240,628424,263,80,134.58,Y
../benchmarks/icp508,0,1,0,1,0,2,0,8,0,0,2,1,90,46,56,70,2.40687e-05,37784,605532,-1,80,-1,N
../benchmarks/icp509,0,1,0,1,0,2,0,8,1,0,2,1,85,43,55,70,9.61809e-05,35720,628424,-1,80,-1,N
../benchmarks/icp528,0,1,0,1,1,0,0,2,0,0,2,1,75,39,56,65,2.88825e-05,24758,586958,248,75,132.89,Y
../benchmarks/icp529,0,1,0,1,1,0,0,2,1,0,2,1,75,39,55,65,9.61809e-05,24820,612193,255,75,135.06,Y
../benchmarks/icp540,0,1,0,1,1,1,0,2,0,0,2,1,72,37,55,65,2.88825e-05,25446,586492,247,75,133.01,Y
../benchmarks/icp541,0,1,0,1,1,1,0,2,1,0,2,1,72,37,54,65,9.61809e-05,25121,611023,252,75,141.18,Y
