ID_x,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/depth_fusion377,1,1,0,0,64,1,2,1,1,1,2,1,0,1,1,52,26,39,31,0.000136543,999,12622,637947,153,39,133.19,Y,377,depth_fusion377_timing.csv,519.645747475,0,715.773656566,48.0032222222,0,667.657171717,0,148.171222222,85.5608888889,62.5337373737,1414.99333333,,377,0.059658
../benchmarks/depth_fusion380,1,1,0,0,64,1,2,1,1,1,2,2,0,0,1,60,32,51,31,0.000165561,999,20511,868777,191,39,119.7,Y,380,depth_fusion380_timing.csv,516.843717172,0,714.612707071,48.5415656566,0,665.957848485,0,4384.15828283,86.5554747475,4297.51515152,5646.96969697,,380,0.060377
../benchmarks/depth_fusion381,1,1,0,0,64,1,2,1,1,1,2,2,0,1,1,52,26,41,31,0.000136489,999,12506,635310,156,39,133.58,Y,381,depth_fusion381_timing.csv,519.555464646,0,714.555050505,48.0298484848,0,666.411717172,0,135.708636364,85.5792121212,50.0521919192,1401.07030303,,381,0.059658
../benchmarks/depth_fusion385,1,1,0,0,64,1,2,1,1,2,1,1,0,1,1,73,36,55,63,4.12134E-005,999,20101,875187,234,78,129.68,Y,385,depth_fusion385_timing.csv,515.581373737,0,717.149161616,49.5656060606,0,667.466777778,0,163.017686869,89.0914343434,73.846010101,1426.03111111,,385,0.059571
../benchmarks/depth_fusion389,1,1,0,0,64,1,2,1,1,2,1,2,0,1,1,73,36,55,63,3.03376E-005,999,20088,876051,236,78,126.98,Y,389,depth_fusion389_timing.csv,519.081818182,0,716.259272727,47.994989899,0,668.150717172,0,150.436020202,85.7907575758,64.5694949495,1416.99535354,,389,0.059658
../benchmarks/depth_fusion393,1,1,0,0,64,1,2,1,1,2,2,1,0,1,1,75,37,56,63,2.97652E-005,999,20298,878771,236,78,135.37,Y,393,depth_fusion393_timing.csv,519.19,0,716.111040404,48.0271010101,0,667.968484848,0,149.074515152,85.9903737374,63.0074949495,1415.75393939,,393,0.059658
../benchmarks/depth_fusion397,1,1,0,0,64,1,2,1,1,2,2,2,0,1,1,75,37,56,63,2.33543E-005,999,20294,879763,238,78,126.03,Y,397,depth_fusion397_timing.csv,516.024030303,0,712.331818182,49.3583737374,0,662.859969697,0,143.434626263,87.0917373737,56.2666161616,1402.38555556,,397,0.059571
../benchmarks/depth_fusion401,1,1,0,0,64,1,2,1,2,1,1,1,0,1,1,66,32,48,63,0.000147047,999,18501,785223,212,78,101.91,Y,401,depth_fusion401_timing.csv,519.325070707,0,715.479212121,48.0816363636,0,667.283969697,0,172.569757576,85.6723434343,86.821030303,1438.52818182,,401,0.059658
../benchmarks/depth_fusion405,1,1,0,0,64,1,2,1,2,1,1,2,0,1,1,65,32,48,63,0.000147863,999,18458,733916,208,78,107.81,Y,405,depth_fusion405_timing.csv,519.126666667,0,716.284242424,48.0865050505,0,668.08369697,0,153.16369697,85.6886262626,67.3976868687,1419.71939394,,405,0.059658
../benchmarks/depth_fusion409,1,1,0,0,64,1,2,1,2,1,2,1,0,1,1,65,32,47,63,0.000159237,999,18548,733738,207,78,107.65,Y,409,depth_fusion409_timing.csv,515.541727273,0,717.09479798,49.5702828283,0,667.406808081,0,157.517686869,87.548989899,69.8896262626,1420.48323232,,409,0.059571
